S.No,"Roll No","Accession No",Date,Time
1,B12678CS,GH234,09/11/2014,"07:57:19 pm"
2,b120899ce,8902519002068,09/11/2014,"11:11:26 pm"
2,b120899ce,8901425052235,09/11/2014,"11:11:51 pm"
3,b120678cs,b120899ce,09/11/2014,"11:12:27 pm"
4,b120899ce,8901425052235,09/11/2014,"11:14:51 pm"
4,b120899ce,8902519002068,09/11/2014,"11:14:56 pm"
4,b120899ce,8901425052235,09/11/2014,"11:15:02 pm"
4,b120899ce,8902519002068,09/11/2014,"11:15:06 pm"
5,B120899CE,8902519002068,10/11/2014,"12:04:54 am"
5,B120899CE,8902519002068,10/11/2014,"12:04:55 am"
5,B120899CE,8902519002068,10/11/2014,"12:04:56 am"
5,B120899CE,8902519002068,10/11/2014,"12:04:57 am"
5,B120899CE,8902519002068,10/11/2014,"12:04:58 am"
5,B120899CE,8902519002068,10/11/2014,"12:04:59 am"
5,B120899CE,8902519002068,10/11/2014,"12:05:00 am"
5,B120899CE,8902519002068,10/11/2014,"12:05:01 am"
6,b120678cs,3678908763893,12/11/2014,"02:32:54 pm"
6,b120678cs,4678933943093,12/11/2014,"02:32:57 pm"
6,b120678cs,34789378,12/11/2014,"02:32:59 pm"
6,b120678cs,6378930-39874,12/11/2014,"03:35:00 pm"
6,b120678cs,tyruiop[ee,12/11/2014,"03:35:03 pm"
6,b120678cs,2434234894-y743,12/11/2014,"04:03:11 pm"
6,b120678cs,5678943,12/11/2014,"04:03:13 pm"
7,8902519002068,8902519002068,12/11/2014,"04:04:02 pm"
7,8902519002068,8902519002068,12/11/2014,"04:04:05 pm"
7,8902519002068,8902519002068,12/11/2014,"04:04:06 pm"
8,54678,gfdfgd,12/11/2014,"04:06:34 pm"
8,54678,kjgjkgk,12/11/2014,"04:06:36 pm"
9,b120678cs,985403-2=,12/11/2014,"05:49:52 pm"
9,b120678cs,96854032-,12/11/2014,"05:49:56 pm"
9,b120678cs,9t0505-,12/11/2014,"05:49:59 pm"
9,b120678cs,493043,12/11/2014,"05:50:01 pm"
9,b120678cs,4934p3,12/11/2014,"05:50:02 pm"
9,b120678cs,5432,12/11/2014,"08:02:13 pm"
9,b120678cs,6543,12/11/2014,"08:02:15 pm"
10,QWERTY,8902519002068,15/11/2014,"02:11:06 pm"
10,QWERTY,1,15/11/2014,"02:11:10 pm"
11,b120730ce,8902519002068,16/11/2014,"02:00:06 am"
11,b120730ce,8902519002068,16/11/2014,"02:00:24 am"
12,b120899ce,234567890,16/11/2014,"03:55:14 am"
13,b120730ce,2,16/11/2014,"04:01:23 am"
14,b120678cs,2,16/11/2014,"04:03:05 am"
